,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,result
3089,0,1807,37,38.0,0,1441.84,0.0,809.0,98.0,245.0,56,38,0
484,0,3152,216,37.0,1,0.0,0.0,0.0,-999.0,0.0,27,72,1
3796,0,945,282,56.0,0,755.0,0.0,797.0,62.0,239.0,16,8,0
3710,0,1815,146,31.0,1,3543.08,0.0,440.0,78.0,0.0,56,38,0
1229,0,2056,219,69.0,0,0.0,0.0,0.0,-999.0,664.0,56,38,1
4611,0,1610,49,25.0,0,823.84,0.0,660.0,14.0,0.0,56,38,0
4023,89,2919,35,38.0,1,0.0,0.0,0.0,-999.0,105.0,56,38,1
2000,179,1482,35,57.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
380,0,3564,167,27.0,1,1000.0,0.0,662.0,7.0,462.0,56,38,0
2344,5,3041,213,27.0,1,530.4,0.0,0.0,34.0,0.0,56,38,0
1097,30,1353,37,31.0,1,1200.0,0.0,457.0,26.0,1.0,56,38,0
979,121,1815,83,36.0,1,4880.91,0.0,702.0,122.0,107.0,16,20,0
311,121,1403,82,28.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
1934,0,27,183,74.0,0,0.0,0.0,0.0,-999.0,538.0,42,33,1
3129,180,1934,300,46.0,0,500.0,0.0,728.0,114.0,159.0,56,38,0
2702,191,2549,285,29.0,1,1347.84,0.0,765.0,15.0,119.0,77,54,0
2041,0,1558,35,32.0,1,16881.33,0.0,479.0,60.0,197.0,56,38,0
3220,186,29,8,55.0,0,0.0,0.0,0.0,-999.0,0.0,56,51,1
3464,0,302,273,46.0,1,725.0,0.0,822.0,214.0,26.0,56,38,0
1441,60,2954,213,31.0,0,1358.04,0.0,828.0,71.0,0.0,56,38,0
1669,152,3564,216,34.0,1,897.07,0.0,528.0,82.0,0.0,55,70,0
3913,60,623,100,30.0,0,572.0,0.0,689.0,85.0,0.0,56,26,0
1272,10,525,37,57.0,1,0.0,0.0,0.0,-999.0,9.0,56,38,1
2651,0,1815,267,37.0,1,7500.0,0.0,906.0,74.0,604.0,56,38,0
3675,7,1635,300,45.0,1,516.2,0.0,396.0,26.0,141.0,56,38,0
181,0,2599,35,32.0,1,1500.0,0.0,470.0,64.0,533.0,56,38,0
2724,30,1873,89,42.0,0,1759.83,0.0,0.0,183.0,1.0,16,21,0
1659,89,1826,272,30.0,1,2800.0,0.0,670.0,66.0,0.0,77,11,0
3713,5,3384,49,56.0,1,0.0,0.0,0.0,-999.0,44.0,56,38,1
1479,0,1832,10,51.0,0,0.0,0.0,755.0,-999.0,447.0,56,38,1
344,91,181,17,43.0,1,1200.0,0.0,694.0,29.0,106.0,55,61,0
1732,0,452,35,52.0,1,24480.0,12000.0,729.0,69.0,483.0,56,38,0
2935,167,2054,317,27.0,0,0.0,0.0,0.0,-999.0,0.0,16,8,1
540,0,1881,146,53.0,0,376.48,0.0,0.0,104.0,702.0,56,38,0
3649,152,3564,318,40.0,0,1100.0,0.0,0.0,81.0,0.0,78,72,0
3844,30,1815,83,25.0,1,13995.0,3645.0,593.0,78.0,0.0,16,20,0
364,176,3454,249,26.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
4351,61,1346,256,28.0,0,0.0,0.0,0.0,-999.0,0.0,56,51,1
4800,0,27,289,79.0,0,0.0,0.0,0.0,-999.0,813.0,42,31,1
140,60,2039,81,26.0,0,530.4,0.0,699.0,33.0,0.0,21,19,0
3332,0,1815,266,46.0,1,4105.08,0.0,925.0,90.0,499.0,16,50,0
537,0,3059,40,40.0,1,530.4,0.0,759.0,70.0,42.0,16,6,0
2736,33,564,59,38.0,1,0.0,0.0,0.0,-999.0,4.0,21,19,1
1715,60,3564,221,59.0,1,968.0,0.0,0.0,74.0,5.0,56,38,0
1330,89,2547,256,34.0,0,998.4,0.0,785.0,68.0,128.0,56,51,0
4256,214,3564,316,59.0,0,0.0,0.0,0.0,-999.0,0.0,56,2,1
1370,0,230,35,46.0,0,0.0,0.0,0.0,-999.0,656.0,56,38,1
3692,149,959,26,42.0,0,530.4,0.0,668.0,54.0,139.0,56,26,0
2655,5,3564,144,56.0,1,0.0,0.0,0.0,-999.0,139.0,56,51,1
3740,0,1748,267,56.0,0,0.0,0.0,0.0,-999.0,417.0,56,38,1
2469,0,2988,312,42.0,1,2166.66,0.0,685.0,242.0,107.0,56,51,0
1424,0,770,267,28.0,0,0.0,0.0,553.0,-999.0,0.0,56,38,1
1973,0,2887,8,47.0,1,17000.0,0.0,783.0,337.0,381.0,56,51,0
4196,63,1075,35,45.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
197,0,1714,145,32.0,1,550.0,0.0,676.0,66.0,0.0,56,2,0
1909,31,1815,27,56.0,1,0.0,0.0,0.0,-999.0,32.0,56,26,1
2190,19,2321,8,34.0,0,0.0,0.0,611.0,-999.0,25.0,56,51,1
3406,0,3355,8,26.0,1,6150.0,0.0,787.0,78.0,511.0,56,51,0
2688,0,1026,17,37.0,0,1600.0,0.0,822.0,85.0,650.0,55,61,0
3507,0,484,64,33.0,1,0.0,0.0,0.0,-999.0,539.0,23,68,1
4709,0,1815,37,51.0,1,0.0,0.0,803.0,-999.0,969.0,56,38,1
784,0,2865,17,30.0,0,693.47,0.0,592.0,106.0,587.0,55,61,0
2652,30,915,245,28.0,1,758.43,0.0,559.0,26.0,12.0,16,56,0
3705,0,1893,300,34.0,1,900.0,0.0,452.0,75.0,43.0,56,38,0
3341,0,3302,317,29.0,1,0.0,0.0,0.0,-999.0,243.0,16,8,1
3864,89,3564,256,36.0,1,1547.0,0.0,692.0,52.0,0.0,56,51,0
1094,93,526,146,36.0,0,0.0,0.0,0.0,-999.0,246.0,56,38,1
3254,30,1769,100,56.0,1,800.0,0.0,542.0,64.0,160.0,56,26,0
2845,91,464,33,39.0,1,675.94,0.0,640.0,53.0,0.0,56,51,0
1277,33,1798,267,28.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
494,0,27,221,78.0,0,0.0,0.0,0.0,-999.0,580.0,56,38,1
3974,153,2143,37,46.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
1075,30,2961,145,29.0,1,850.12,0.0,491.0,88.0,166.0,56,2,0
848,31,3564,73,40.0,1,0.0,0.0,0.0,-999.0,387.0,39,17,1
2846,0,19,144,72.0,0,0.0,0.0,0.0,-999.0,510.0,56,51,1
547,0,117,37,45.0,0,0.0,0.0,0.0,-999.0,380.0,56,38,1
4551,0,3564,211,32.0,0,975.0,0.0,594.0,30.0,226.0,56,51,0
3563,0,452,27,31.0,0,0.0,0.0,682.0,-999.0,338.0,58,18,1
4470,0,3564,300,57.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
3316,90,790,213,35.0,0,570.8,0.0,743.0,28.0,203.0,56,38,0
188,0,1815,35,48.0,0,4233.0,0.0,448.0,-999.0,10.0,56,38,0
2757,0,2590,8,47.0,0,3200.0,0.0,908.0,203.0,559.0,56,51,0
1193,89,675,37,61.0,0,1120.0,0.0,556.0,102.0,250.0,56,38,0
4802,0,454,300,46.0,1,625.0,0.0,975.0,161.0,454.0,56,38,0
3164,0,499,135,44.0,0,513.76,0.0,853.0,75.0,237.0,56,26,0
2284,0,1391,2,39.0,1,530.4,0.0,490.0,32.0,468.0,19,0,0
3452,152,3367,300,30.0,1,0.0,0.0,0.0,-999.0,261.0,56,38,1
905,121,3564,17,29.0,1,0.0,0.0,0.0,-999.0,500.0,55,61,1
3678,0,2371,316,59.0,1,1082.48,0.0,756.0,277.0,264.0,56,2,0
4513,30,3182,59,37.0,1,650.0,0.0,684.0,169.0,0.0,21,19,0
3753,90,3564,196,53.0,1,571.0,0.0,644.0,248.0,175.0,56,51,0
2223,30,452,316,30.0,1,630.0,0.0,0.0,26.0,50.0,56,2,0
508,63,2952,34,55.0,0,498.2,0.0,651.0,105.0,115.0,56,51,0
4862,0,1122,300,29.0,0,600.0,0.0,629.0,54.0,573.0,56,38,0
2248,30,1815,285,29.0,1,650.0,0.0,786.0,6.0,192.0,77,54,0
3073,165,3564,136,24.0,1,894.72,0.0,488.0,28.0,0.0,16,24,0
3776,0,1432,90,31.0,0,2866.0,0.0,730.0,78.0,423.0,56,26,0
342,5,2445,35,52.0,0,0.0,0.0,0.0,-999.0,94.0,56,38,1
810,0,2903,216,36.0,1,4000.0,0.0,744.0,138.0,841.0,55,70,0
4051,0,2914,256,58.0,0,27708.75,0.0,938.0,85.0,820.0,56,51,0
2658,0,1815,4,25.0,0,2010.91,0.0,798.0,76.0,285.0,16,16,0
218,0,3058,285,41.0,1,0.0,0.0,514.0,-999.0,649.0,77,54,1
2693,0,1815,253,53.0,1,0.0,0.0,0.0,-999.0,0.0,16,47,1
2687,180,1326,144,29.0,0,900.0,0.0,778.0,44.0,0.0,56,51,0
3613,0,2956,256,43.0,1,7112.0,0.0,682.0,126.0,359.0,56,51,0
827,0,65,146,73.0,0,0.0,0.0,0.0,-999.0,538.0,56,38,1
1260,0,799,37,74.0,0,0.0,0.0,759.0,-999.0,541.0,56,38,1
1577,0,1949,267,35.0,0,7500.0,0.0,581.0,27.0,729.0,56,38,0
2130,0,2642,300,32.0,1,577.5,0.0,460.0,24.0,471.0,56,38,0
3978,0,809,275,33.0,1,0.0,0.0,0.0,-999.0,587.0,16,20,1
2486,40,992,256,48.0,1,0.0,0.0,0.0,-999.0,9.0,56,51,1
3809,0,1025,17,26.0,0,650.0,0.0,0.0,36.0,287.0,55,61,0
2311,103,3564,167,40.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
4806,66,37,135,62.0,1,0.0,0.0,0.0,-999.0,0.0,56,26,1
1283,0,865,170,31.0,1,530.4,0.0,760.0,27.0,669.0,16,20,0
276,0,126,135,34.0,1,629.12,0.0,651.0,88.0,539.0,56,26,0
2386,60,2429,146,46.0,0,0.0,0.0,0.0,-999.0,300.0,56,38,1
2739,93,1959,83,29.0,1,900.0,0.0,818.0,36.0,110.0,16,20,0
3422,0,11,239,58.0,0,0.0,0.0,0.0,-999.0,293.0,56,38,1
1853,247,27,35,67.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
2555,180,2198,316,34.0,0,592.8,0.0,822.0,82.0,0.0,56,2,0
1350,121,3564,146,27.0,0,866.04,0.0,788.0,61.0,0.0,56,38,0
4026,152,1815,285,43.0,1,3320.0,0.0,887.0,-999.0,159.0,77,54,0
1178,157,731,267,43.0,1,2533.38,0.0,697.0,87.0,326.0,56,38,0
862,0,2180,300,39.0,0,414.13,0.0,872.0,69.0,363.0,56,38,0
3178,60,1815,2,44.0,1,1629.0,0.0,665.0,-999.0,0.0,19,0,0
2789,60,3050,144,44.0,0,770.0,0.0,654.0,120.0,0.0,56,51,0
3216,0,2324,219,35.0,0,0.0,0.0,738.0,-999.0,405.0,56,38,1
4203,214,96,316,55.0,0,0.0,0.0,0.0,-999.0,0.0,56,2,1
3852,0,3022,239,58.0,0,0.0,0.0,675.0,-999.0,462.0,56,38,1
4720,60,454,316,32.0,1,500.0,0.0,645.0,81.0,0.0,56,2,0
1543,214,2817,146,51.0,1,0.0,0.0,0.0,-999.0,291.0,56,38,1
1552,0,1847,8,49.0,0,3923.12,0.0,831.0,157.0,441.0,56,51,0
3253,40,3082,37,56.0,0,0.0,0.0,836.0,205.0,415.0,56,38,0
823,0,1479,33,42.0,0,562.78,0.0,0.0,132.0,379.0,56,51,0
1584,60,2814,211,53.0,0,500.0,0.0,658.0,87.0,0.0,56,51,0
4212,4,2140,213,58.0,0,0.0,0.0,0.0,-999.0,107.0,56,38,1
901,0,1570,35,32.0,1,15000.0,0.0,975.0,126.0,571.0,56,38,0
4243,0,446,35,42.0,1,0.0,0.0,0.0,-999.0,563.0,56,38,1
3762,270,716,146,31.0,0,530.4,0.0,487.0,44.0,0.0,56,38,0
4462,73,2740,319,34.0,1,0.0,0.0,0.0,-999.0,0.0,26,43,1
1872,5,8,34,56.0,1,0.0,0.0,0.0,-999.0,49.0,56,51,1
319,30,3208,211,34.0,1,705.56,0.0,794.0,100.0,0.0,56,51,0
452,0,3506,140,40.0,1,840.0,0.0,730.0,12.0,419.0,56,26,0
816,0,1212,312,33.0,0,488.8,0.0,0.0,66.0,157.0,56,51,0
3386,89,498,145,33.0,0,700.0,0.0,730.0,41.0,128.0,56,2,0
4763,0,3084,35,64.0,1,1160.48,0.0,737.0,-999.0,603.0,56,38,0
1129,150,2770,219,25.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
3781,0,1815,317,52.0,1,929.52,0.0,885.0,264.0,376.0,16,8,0
573,89,1866,83,27.0,0,1879.25,0.0,856.0,88.0,0.0,16,20,0
624,0,511,67,44.0,1,0.0,0.0,0.0,-999.0,0.0,6,63,1
1014,30,2060,73,60.0,0,2887.0,0.0,923.0,-999.0,0.0,39,17,0
1559,35,3564,135,27.0,1,1159.68,0.0,678.0,55.0,13.0,56,26,0
3298,0,1053,146,29.0,1,1102.16,0.0,589.0,111.0,565.0,56,38,0
2972,0,454,144,45.0,0,800.0,0.0,866.0,152.0,457.0,56,51,0
231,0,2392,59,42.0,1,0.0,0.0,662.0,-999.0,609.0,21,19,1
3030,60,1270,219,31.0,1,750.0,0.0,502.0,50.0,119.0,56,38,0
4429,30,1561,70,28.0,1,401.16,0.0,724.0,16.0,0.0,56,38,0
3317,30,2164,300,47.0,0,668.0,0.0,0.0,67.0,2.0,56,38,0
2816,0,2419,35,60.0,0,0.0,0.0,736.0,-999.0,0.0,56,38,1
2052,152,3564,249,34.0,1,853.34,0.0,764.0,75.0,211.0,56,38,0
2971,0,2522,300,29.0,0,557.44,0.0,816.0,65.0,304.0,56,38,0
60,63,1971,146,60.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
323,96,3497,33,34.0,0,800.0,0.0,678.0,20.0,166.0,56,51,0
4526,66,1815,146,57.0,1,800.0,0.0,711.0,344.0,106.0,56,38,0
3802,142,3216,144,41.0,0,0.0,0.0,0.0,-999.0,0.0,56,51,1
1956,30,3191,17,22.0,1,920.0,0.0,495.0,29.0,108.0,58,2,0
3608,33,1815,17,26.0,1,0.0,0.0,0.0,-999.0,211.0,55,61,1
497,0,663,209,39.0,0,750.0,0.0,641.0,23.0,398.0,56,2,0
4691,0,1234,211,34.0,1,0.0,0.0,0.0,-999.0,115.0,56,51,1
2160,0,384,267,54.0,1,1969.6,0.0,672.0,210.0,458.0,56,38,0
1521,0,1878,167,39.0,1,759.78,0.0,805.0,176.0,624.0,56,38,0
2566,60,2521,316,32.0,0,888.0,0.0,571.0,50.0,435.0,56,2,0
278,60,2755,146,44.0,0,0.0,0.0,345.0,-999.0,289.0,56,38,1
370,0,452,27,44.0,0,806.1,0.0,918.0,188.0,655.0,58,18,0
63,59,351,167,27.0,1,675.0,0.0,690.0,28.0,128.0,56,38,0
245,73,1815,17,52.0,1,0.0,0.0,0.0,-999.0,231.0,55,61,1
1364,0,1621,97,33.0,1,2372.19,0.0,488.0,-999.0,823.0,56,38,0
3376,121,1815,4,29.0,0,2125.33,0.0,634.0,66.0,0.0,16,16,0
709,30,1789,83,24.0,0,580.0,0.0,640.0,30.0,0.0,16,20,0
3019,0,366,33,37.0,1,550.0,0.0,669.0,42.0,144.0,56,51,0
2333,30,865,201,27.0,1,514.56,0.0,864.0,38.0,500.0,39,17,0
3453,163,568,146,76.0,1,0.0,0.0,0.0,-999.0,234.0,56,38,1
4770,0,2335,190,40.0,0,3028.5,0.0,574.0,-999.0,244.0,16,7,0
492,0,516,267,60.0,1,0.0,0.0,0.0,-999.0,466.0,56,38,1
1906,0,1653,144,57.0,1,0.0,0.0,810.0,-999.0,410.0,56,51,1
2710,0,1644,216,34.0,0,5400.0,0.0,0.0,48.0,267.0,55,70,0
4772,0,1815,285,39.0,0,5543.0,0.0,656.0,90.0,525.0,77,54,0
2356,0,1063,10,58.0,1,0.0,0.0,0.0,-999.0,841.0,56,38,1
1927,30,3277,144,46.0,0,1300.0,0.0,713.0,25.0,51.0,56,51,0
951,0,2741,70,25.0,1,800.0,0.0,0.0,43.0,228.0,56,38,0
4724,59,2062,37,90.0,1,0.0,0.0,0.0,-999.0,449.0,56,38,1
3632,30,1739,300,34.0,0,1125.0,0.0,768.0,80.0,2.0,56,38,0
762,0,3397,300,30.0,1,600.0,0.0,720.0,69.0,603.0,56,38,0
2662,0,1931,213,36.0,1,750.0,0.0,644.0,100.0,318.0,56,38,0
1461,0,2797,267,43.0,1,5000.0,0.0,822.0,166.0,487.0,56,38,0
4853,0,2632,316,28.0,1,0.0,0.0,0.0,-999.0,422.0,56,2,1
3520,61,3514,6,44.0,1,980.0,0.0,0.0,105.0,110.0,16,7,0
1668,30,1927,145,44.0,0,900.0,0.0,613.0,89.0,3.0,56,2,0
4621,0,1518,267,54.0,0,0.0,0.0,591.0,-999.0,797.0,56,38,1
3706,33,3564,316,42.0,1,0.0,0.0,0.0,-999.0,0.0,56,2,1
1994,306,1489,316,48.0,1,0.0,0.0,0.0,-999.0,0.0,56,2,1
1463,0,2435,167,47.0,0,0.0,0.0,720.0,-999.0,954.0,56,38,1
2317,56,1265,300,26.0,1,800.0,0.0,790.0,14.0,467.0,56,38,0
1222,40,267,267,49.0,0,0.0,0.0,0.0,-999.0,21.0,56,38,1
1159,0,1815,83,35.0,0,1945.25,0.0,658.0,142.0,668.0,16,20,0
1811,0,131,35,27.0,1,1750.0,0.0,590.0,33.0,400.0,56,38,0
2415,30,3213,242,30.0,1,520.0,0.0,338.0,95.0,0.0,58,18,0
1430,60,3564,229,32.0,0,600.0,0.0,728.0,85.0,0.0,56,26,0
4025,5,38,44,49.0,0,0.0,0.0,0.0,-999.0,43.0,21,19,1
2261,0,763,278,29.0,0,1186.0,0.0,712.0,24.0,436.0,56,2,0
2910,0,1815,6,28.0,0,2500.0,0.0,772.0,30.0,367.0,16,7,0
1942,60,3564,35,37.0,1,1890.0,0.0,778.0,62.0,0.0,56,38,0
4166,0,452,83,35.0,1,927.78,0.0,722.0,77.0,536.0,16,20,0
2162,0,3366,300,58.0,1,604.96,0.0,641.0,42.0,587.0,56,38,0
4956,0,3200,16,25.0,1,650.0,0.0,858.0,14.0,190.0,56,51,0
2002,89,2221,28,52.0,1,1089.84,0.0,857.0,227.0,0.0,21,19,0
4966,133,2705,259,49.0,0,572.0,0.0,707.0,63.0,180.0,21,19,0
1581,0,3564,321,0.0,2,4300.0,700.0,975.0,84.0,848.0,81,72,0
207,30,1865,83,33.0,0,1620.96,0.0,489.0,-999.0,15.0,16,20,0
3766,15,3053,17,44.0,1,800.0,0.0,683.0,110.0,296.0,55,61,0
4309,0,2323,144,30.0,1,0.0,0.0,744.0,-999.0,243.0,56,51,1
113,30,3564,216,28.0,1,1836.25,0.0,670.0,84.0,0.0,55,70,0
365,152,945,277,38.0,0,879.5,0.0,634.0,10.0,0.0,42,33,0
4535,0,742,61,25.0,0,750.0,0.0,560.0,13.0,452.0,19,41,0
1228,66,790,83,26.0,1,560.0,0.0,617.0,12.0,0.0,16,20,0
3260,0,138,267,57.0,1,8557.16,0.0,974.0,222.0,453.0,56,38,0
1001,0,753,219,61.0,0,0.0,0.0,830.0,-999.0,983.0,56,38,1
4045,152,391,316,33.0,0,0.0,0.0,0.0,-999.0,0.0,56,2,1
470,30,3407,316,32.0,0,776.43,0.0,510.0,87.0,0.0,56,2,0
962,0,3562,44,48.0,1,0.0,0.0,664.0,-999.0,131.0,21,19,1
3751,0,2183,219,31.0,0,0.0,0.0,794.0,-999.0,453.0,56,38,1
152,33,1688,97,51.0,0,582.76,0.0,532.0,79.0,190.0,56,38,0
1177,0,3564,83,43.0,1,0.0,0.0,774.0,-999.0,651.0,16,20,1
1667,121,1815,83,26.0,0,2295.81,0.0,579.0,86.0,106.0,16,20,0
2447,0,839,145,45.0,0,677.41,0.0,589.0,27.0,284.0,58,2,0
2586,60,1261,213,43.0,0,557.44,0.0,0.0,26.0,110.0,56,38,0
3657,33,46,300,51.0,1,0.0,0.0,0.0,-999.0,2.0,56,38,1
1931,0,1673,267,34.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
2857,33,1786,267,42.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
4259,180,827,256,36.0,0,2000.0,0.0,677.0,51.0,0.0,56,51,0
4516,40,1815,256,44.0,0,0.0,0.0,0.0,-999.0,8.0,56,51,1
3226,30,1641,49,55.0,1,7133.33,0.0,903.0,218.0,273.0,56,38,0
76,60,2463,17,51.0,1,530.0,0.0,685.0,94.0,0.0,55,61,0
4301,60,3564,37,43.0,0,5360.0,0.0,882.0,168.0,1.0,56,38,0
753,673,564,73,66.0,1,0.0,0.0,0.0,-999.0,345.0,39,17,1
1638,40,3564,35,40.0,1,0.0,0.0,0.0,-999.0,212.0,56,38,1
4493,30,2203,135,31.0,0,500.0,0.0,692.0,68.0,1.0,56,26,0
3154,30,1815,256,36.0,0,2284.5,784.5,808.0,104.0,159.0,56,51,0
1488,60,3088,239,41.0,1,6525.0,0.0,890.0,71.0,237.0,56,38,0
1645,30,3044,146,59.0,1,530.4,0.0,720.0,112.0,28.0,56,38,0
2896,0,3564,167,37.0,1,971.25,0.0,779.0,37.0,283.0,56,38,0
4150,35,27,213,79.0,1,0.0,0.0,0.0,-999.0,35.0,56,38,1
1572,0,1362,256,42.0,1,2000.0,0.0,736.0,162.0,10.0,56,51,0
4939,59,1527,81,53.0,1,0.0,0.0,0.0,-999.0,0.0,21,19,1
2126,180,1371,300,23.0,1,532.0,0.0,496.0,29.0,0.0,56,38,0
3307,30,1856,312,28.0,1,7100.0,0.0,633.0,57.0,72.0,56,51,0
4568,60,3383,17,38.0,1,2025.83,0.0,577.0,89.0,0.0,55,61,0
522,0,1815,223,62.0,1,3112.98,0.0,848.0,438.0,499.0,39,42,0
4509,0,2482,146,35.0,1,400.0,0.0,507.0,1.0,20.0,56,38,0
1868,30,1261,265,31.0,0,580.0,0.0,805.0,100.0,1.0,56,38,0
115,0,3564,10,54.0,1,0.0,0.0,0.0,-999.0,628.0,56,38,1
1251,0,773,213,22.0,1,557.43,0.0,488.0,49.0,12.0,56,38,0
773,66,3564,216,44.0,1,0.0,0.0,0.0,-999.0,335.0,55,70,1
2165,0,1141,101,49.0,0,530.4,0.0,0.0,103.0,550.0,18,59,0
1849,211,1159,300,28.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
4271,59,3564,26,30.0,0,624.0,0.0,685.0,46.0,207.0,56,26,0
3174,89,3564,211,37.0,1,1152.8,0.0,461.0,79.0,0.0,56,51,0
3904,121,518,256,51.0,1,528.0,0.0,444.0,26.0,0.0,56,51,0
3113,0,1623,10,28.0,1,5000.0,0.0,891.0,65.0,395.0,56,38,0
1718,0,1815,219,69.0,1,0.0,0.0,742.0,-999.0,363.0,56,38,1
496,0,458,83,28.0,0,1778.92,0.0,0.0,88.0,269.0,16,20,0
2551,90,1969,34,46.0,1,5166.66,0.0,615.0,29.0,249.0,56,51,0
2601,33,2983,127,48.0,1,1450.0,0.0,518.0,122.0,0.0,56,26,0
3136,0,1815,201,40.0,0,2750.08,0.0,0.0,321.0,154.0,39,17,0
375,0,450,216,42.0,0,2100.0,0.0,843.0,44.0,669.0,55,70,0
4320,0,2831,267,31.0,1,1500.0,0.0,786.0,150.0,773.0,56,38,0
657,0,3564,242,34.0,1,0.0,0.0,808.0,-999.0,0.0,56,26,1
3425,213,2649,37,45.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
1307,0,546,82,47.0,1,0.0,0.0,772.0,-999.0,896.0,56,38,1
626,10,515,35,52.0,1,0.0,0.0,0.0,-999.0,3.0,56,38,1
4586,119,918,267,35.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
806,0,3227,10,57.0,0,2100.0,0.0,959.0,381.0,660.0,56,38,0
4152,60,2690,35,65.0,1,1450.0,0.0,590.0,44.0,0.0,56,38,0
2515,0,1815,285,47.0,1,1366.66,0.0,842.0,216.0,877.0,77,54,0
3847,0,2062,267,65.0,1,0.0,0.0,906.0,-999.0,0.0,56,38,1
2219,30,1780,267,61.0,1,0.0,0.0,786.0,217.0,415.0,56,38,0
4277,0,372,26,32.0,1,0.0,0.0,0.0,-999.0,398.0,56,26,1
1609,0,921,267,37.0,1,2855.0,0.0,975.0,89.0,347.0,56,38,0
929,0,936,37,49.0,1,0.0,0.0,807.0,-999.0,529.0,56,38,1
4160,0,591,35,68.0,0,0.0,0.0,0.0,-999.0,925.0,56,38,1
939,33,1815,146,39.0,0,0.0,0.0,0.0,-999.0,1.0,56,38,1
1801,0,634,52,26.0,0,530.4,0.0,0.0,55.0,539.0,77,54,0
3523,30,1902,17,43.0,1,832.0,0.0,483.0,47.0,128.0,55,61,0
761,33,1815,317,29.0,0,1500.0,0.0,742.0,36.0,273.0,16,8,0
2641,0,864,259,24.0,1,0.0,0.0,0.0,-999.0,285.0,21,19,1
3929,30,1031,145,52.0,1,800.0,0.0,844.0,36.0,1.0,56,2,0
260,66,3564,17,32.0,1,0.0,0.0,0.0,-999.0,0.0,55,61,1
2033,110,3481,256,44.0,1,0.0,0.0,0.0,-999.0,0.0,56,51,1
4088,45,3213,285,29.0,0,1000.0,0.0,657.0,44.0,107.0,77,54,0
4445,0,1196,33,49.0,1,838.8,0.0,533.0,77.0,2.0,56,51,0
1903,30,1278,211,34.0,1,613.6,0.0,591.0,26.0,33.0,56,51,0
208,0,100,219,33.0,0,2332.0,0.0,623.0,63.0,325.0,56,38,0
1058,121,1815,276,53.0,0,2525.25,0.0,737.0,206.0,0.0,16,20,0
4501,0,1735,35,42.0,1,0.0,0.0,0.0,-999.0,603.0,56,38,1
3248,0,2856,70,44.0,0,0.0,0.0,449.0,-999.0,285.0,56,38,1
100,149,3521,37,58.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
2559,60,3564,300,32.0,1,770.07,0.0,592.0,58.0,0.0,56,38,0
1560,0,2064,67,64.0,1,324.4,0.0,0.0,-999.0,663.0,6,63,1
2196,45,1286,146,31.0,1,1200.16,0.0,511.0,13.0,0.0,56,38,0
3210,31,1538,37,45.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
4713,30,1815,37,43.0,1,2500.0,0.0,767.0,215.0,0.0,56,38,0
2114,30,2694,242,33.0,1,1489.3,0.0,574.0,83.0,22.0,58,18,0
1772,0,898,311,40.0,1,666.24,0.0,558.0,54.0,4.0,56,2,0
3481,0,485,167,27.0,1,0.0,0.0,522.0,-999.0,277.0,56,38,1
1847,0,2375,176,43.0,0,800.0,693.33,671.0,36.0,0.0,42,31,0
2754,0,447,268,31.0,1,650.0,0.0,847.0,30.0,140.0,58,49,0
1731,0,353,10,64.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
3785,60,1642,316,47.0,0,513.76,0.0,455.0,62.0,0.0,56,2,0
4873,30,1611,167,49.0,0,624.0,0.0,782.0,18.0,68.0,56,38,0
3057,0,2590,230,28.0,1,3245.83,0.0,733.0,108.0,623.0,16,47,0
1888,30,1815,285,33.0,1,2074.94,0.0,483.0,102.0,157.0,77,54,0
3049,0,1815,216,52.0,1,0.0,0.0,0.0,-999.0,0.0,27,72,1
3862,0,3564,316,59.0,1,0.0,0.0,0.0,-999.0,0.0,56,2,1
792,0,1815,23,36.0,1,1842.5,0.0,0.0,108.0,247.0,16,6,0
3901,303,1886,17,40.0,0,1500.0,0.0,700.0,74.0,0.0,55,61,0
303,33,2226,35,48.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
3141,0,3564,144,49.0,0,0.0,0.0,0.0,-999.0,419.0,56,51,1
3711,0,1172,37,39.0,0,9808.33,0.0,779.0,115.0,737.0,56,38,0
3090,152,1214,234,42.0,1,530.4,0.0,0.0,63.0,0.0,21,45,0
